Channel,fire time(us)
1,0
2,0
3,8.24
4,4.112
5,4.114
6,8.24
7,0
8,0
9,12.424
10,4.144
11,4.112
12,8.264
13,12.376
14,12.376
15,8.264
16,12.424
17,0
18,0
19,4.112
20,8.24
21,4.144
22,0
23,0
24,4.144
25,12.424
26,8.264
27,4.112
28,12.376
29,12.376
30,12.424
31,8.264
32,0.848
33,2.504
34,4.976
35,6.616
36,6.616
37,9.112
38,2.504
39,0.848
40,10.768
41,13.28
42,13.28
43,4.976
44,9.112
45,14.928
46,14.928
47,10.768
48,2.504
49,0.848
50,6.616
51,4.976
52,9.112
53,6.616
54,0.848
55,2.504
56,13.28
57,10.768
58,4.976
59,13.28
60,13.28
61,9.112
62,10.768
63,14.928
64,13.28
65,0.848
66,9.112
67,13.28
68,2.504
69,4.976
70,0.848
71,2.504
72,14.928
73,10.768
74,10.768
75,14.928
76,4.976
77,6.616
78,6.616
79,9.112
80,10.768
81,13.28
82,13.28
83,9.112
84,4.976
85,2.504
86,2.504
87,0.848
88,10.768
89,14.928
90,14.928
91,10.768
92,6.616
93,4.976
94,9.112
95,6.616
96,4.112
97,12.424
98,0
99,4.144
100,0
101,0
102,12.424
103,0
104,8.264
105,12.424
106,12.424
107,8.24
108,8.24
109,8.264
110,12.376
111,12.376
112,12.424
113,4.112
114,4.144
115,0
116,0
117,0
118,0
119,0
120,12.424
121,8.264
122,8.24
123,4.144
124,8.264
125,8.24
126,12.376
127,12.376
128,8.264